‾	ۇستىڭگى سىزىق
🧎🏼	3-تەرى ءتۇرى, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام: 3-تەرى ءتۇرى, تىزەرلەپ وتىرۋ
🧎🏽	4-تەرى ءتۇسى, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام: 4-تەرى ءتۇسى, تىزەرلەپ وتىرۋ
🧎🏾	5-تەرى ءتۇسى, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام: 5-تەرى ءتۇسى, تىزەرلەپ وتىرۋ
🧎🏿	6-تەرى ءتۇسى, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام: 6-تەرى ءتۇسى, تىزەرلەپ وتىرۋ
🧎‍♂	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, ەركەك
🧎🏻‍♂	1–2 تەرى ءتۇسى, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك: 1–2 تەرى ءتۇسى, ەركەك
🧎🏼‍♂	3-تەرى ءتۇرى, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك: 3-تەرى ءتۇرى, ەركەك
🧎🏽‍♂	4-تەرى ءتۇسى, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك: 4-تەرى ءتۇسى, ەركەك
🧎🏾‍♂	5-تەرى ءتۇسى, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك: 5-تەرى ءتۇسى, ەركەك
🧎🏿‍♂	6-تەرى ءتۇسى, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك: 6-تەرى ءتۇسى, ەركەك
🧎‍♀	ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل
🧎🏻‍♀	1–2 تەرى ءتۇسى, ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل: 1–2 تەرى ءتۇسى
🧎🏼‍♀	3-تەرى ءتۇرى, ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل: 3-تەرى ءتۇرى
🧎🏽‍♀	4-تەرى ءتۇسى, ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل: 4-تەرى ءتۇسى
🧎🏾‍♀	5-تەرى ءتۇسى, ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل: 5-تەرى ءتۇسى
🧎🏿‍♀	6-تەرى ءتۇسى, ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل: 6-تەرى ءتۇسى
🧎‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام وڭعا قاراتىلعان, تىزەرلەپ وتىرۋ
🧎🏻‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام وڭعا قاراتىلعان, تىزەرلەپ وتىرۋ
🧎🏼‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام وڭعا قاراتىلعان, تىزەرلەپ وتىرۋ
🧎🏽‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام وڭعا قاراتىلعان, تىزەرلەپ وتىرۋ
🧎🏾‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام وڭعا قاراتىلعان, تىزەرلەپ وتىرۋ
🧎🏿‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ادام, تىزەرلەپ وتىرعان ادام وڭعا قاراتىلعان, تىزەرلەپ وتىرۋ
🧎‍♀‍➡	ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل وڭعا قاراتىلعان
🧎🏻‍♀‍➡	ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل وڭعا قاراتىلعان
🧎🏼‍♀‍➡	ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل وڭعا قاراتىلعان
🧎🏽‍♀‍➡	ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل وڭعا قاراتىلعان
🧎🏾‍♀‍➡	ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل وڭعا قاراتىلعان
🧎🏿‍♀‍➡	ايەل, تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ايەل, تىزەرلەپ وتىرعان ايەل وڭعا قاراتىلعان
🧎‍♂‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك وڭعا قاراتىلعان, ەركەك
🧎🏻‍♂‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك وڭعا قاراتىلعان, ەركەك
🧎🏼‍♂‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك وڭعا قاراتىلعان, ەركەك
🧎🏽‍♂‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك وڭعا قاراتىلعان, ەركەك
🧎🏾‍♂‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك وڭعا قاراتىلعان, ەركەك
🧎🏿‍♂‍➡	تىزەرلەپ وتىرعان, تىزەرلەپ وتىرعان ەركەك, تىزەرلەپ وتىرعان ەركەك وڭعا قاراتىلعان, ەركەك
🧑‍🦯	تاياعى بار ادام, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑🏻‍🦯	1–2 تەرى ءتۇسى, تاياعى بار ادام, تاياعى بار ادام: 1–2 تەرى ءتۇسى, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑🏼‍🦯	3-تەرى ءتۇرى, تاياعى بار ادام, تاياعى بار ادام: 3-تەرى ءتۇرى, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑🏽‍🦯	4-تەرى ءتۇسى, تاياعى بار ادام, تاياعى بار ادام: 4-تەرى ءتۇسى, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑🏾‍🦯	5-تەرى ءتۇسى, تاياعى بار ادام, تاياعى بار ادام: 5-تەرى ءتۇسى, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑🏿‍🦯	6-تەرى ءتۇسى, تاياعى بار ادام, تاياعى بار ادام: 6-تەرى ءتۇسى, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑‍🦯‍➡	تاياعى بار ادام, تاياعى بار ادام وڭعا قاراتىلعان, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑🏻‍🦯‍➡	تاياعى بار ادام, تاياعى بار ادام وڭعا قاراتىلعان, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑🏼‍🦯‍➡	تاياعى بار ادام, تاياعى بار ادام وڭعا قاراتىلعان, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑🏽‍🦯‍➡	تاياعى بار ادام, تاياعى بار ادام وڭعا قاراتىلعان, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑🏾‍🦯‍➡	تاياعى بار ادام, تاياعى بار ادام وڭعا قاراتىلعان, زاعيپ, مۇمكىندىگى شەكتەۋلى
🧑🏿‍🦯‍➡	تاياعى بار ادام, تاياعى بار ادام وڭعا قاراتىلعان, زاعيپ, مۇمكىندىگى شەكتەۋلى
👨‍🦯	تاياعى بار ەركەك, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨🏻‍🦯	1–2 تەرى ءتۇسى, تاياعى بار ەركەك, تاياعى بار ەركەك: 1–2 تەرى ءتۇسى, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨🏼‍🦯	3-تەرى ءتۇرى, تاياعى بار ەركەك, تاياعى بار ەركەك: 3-تەرى ءتۇرى, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨🏽‍🦯	4-تەرى ءتۇسى, تاياعى بار ەركەك, تاياعى بار ەركەك: 4-تەرى ءتۇسى, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨🏾‍🦯	5-تەرى ءتۇسى, تاياعى بار ەركەك, تاياعى بار ەركەك: 5-تەرى ءتۇسى, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨🏿‍🦯	6-تەرى ءتۇسى, تاياعى بار ەركەك, تاياعى بار ەركەك: 6-تەرى ءتۇسى, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨‍🦯‍➡	تاياعى بار ەركەك, تاياعى بار ەركەك وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨🏻‍🦯‍➡	تاياعى بار ەركەك, تاياعى بار ەركەك وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨🏼‍🦯‍➡	تاياعى بار ەركەك, تاياعى بار ەركەك وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨🏽‍🦯‍➡	تاياعى بار ەركەك, تاياعى بار ەركەك وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨🏾‍🦯‍➡	تاياعى بار ەركەك, تاياعى بار ەركەك وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👨🏿‍🦯‍➡	تاياعى بار ەركەك, تاياعى بار ەركەك وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك
👩‍🦯	ايەل, تاياعى بار ايەل, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩🏻‍🦯	1–2 تەرى ءتۇسى, ايەل, تاياعى بار ايەل, تاياعى بار ايەل: 1–2 تەرى ءتۇسى, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩🏼‍🦯	3-تەرى ءتۇرى, ايەل, تاياعى بار ايەل, تاياعى بار ايەل: 3-تەرى ءتۇرى, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩🏽‍🦯	4-تەرى ءتۇسى, ايەل, تاياعى بار ايەل, تاياعى بار ايەل: 4-تەرى ءتۇسى, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩🏾‍🦯	5-تەرى ءتۇسى, ايەل, تاياعى بار ايەل, تاياعى بار ايەل: 5-تەرى ءتۇسى, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩🏿‍🦯	6-تەرى ءتۇسى, ايەل, تاياعى بار ايەل, تاياعى بار ايەل: 6-تەرى ءتۇسى, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩‍🦯‍➡	ايەل, تاياعى بار ايەل, تاياعى بار ايەل وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩🏻‍🦯‍➡	ايەل, تاياعى بار ايەل, تاياعى بار ايەل وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩🏼‍🦯‍➡	ايەل, تاياعى بار ايەل, تاياعى بار ايەل وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩🏽‍🦯‍➡	ايەل, تاياعى بار ايەل, تاياعى بار ايەل وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩🏾‍🦯‍➡	ايەل, تاياعى بار ايەل, تاياعى بار ايەل وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
👩🏿‍🦯‍➡	ايەل, تاياعى بار ايەل, تاياعى بار ايەل وڭعا قاراتىلعان, سوقىر, كوزىلدىرىك, مۇمكىندىگى شەكتەۋلى, مۇگەدەك
🧑‍🦼	اربا, موتورلى ارباداعى ادام, مۇمكىندىگى شەكتەۋلى
🧑🏻‍🦼	1–2 تەرى ءتۇسى, اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام: 1–2 تەرى ءتۇسى, مۇمكىندىگى شەكتەۋلى
🧑🏼‍🦼	3-تەرى ءتۇرى, اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام: 3-تەرى ءتۇرى, مۇمكىندىگى شەكتەۋلى
🧑🏽‍🦼	4-تەرى ءتۇسى, اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام: 4-تەرى ءتۇسى, مۇمكىندىگى شەكتەۋلى
🧑🏾‍🦼	5-تەرى ءتۇسى, اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام: 5-تەرى ءتۇسى, مۇمكىندىگى شەكتەۋلى
🧑🏿‍🦼	6-تەرى ءتۇسى, اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام: 6-تەرى ءتۇسى, مۇمكىندىگى شەكتەۋلى
🧑‍🦼‍➡	اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام وڭعا قاراتىلعان, مۇمكىندىگى شەكتەۋلى
🧑🏻‍🦼‍➡	اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام وڭعا قاراتىلعان, مۇمكىندىگى شەكتەۋلى
🧑🏼‍🦼‍➡	اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام وڭعا قاراتىلعان, مۇمكىندىگى شەكتەۋلى
🧑🏽‍🦼‍➡	اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام وڭعا قاراتىلعان, مۇمكىندىگى شەكتەۋلى
🧑🏾‍🦼‍➡	اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام وڭعا قاراتىلعان, مۇمكىندىگى شەكتەۋلى
🧑🏿‍🦼‍➡	اربا, موتورلى ارباداعى ادام, موتورلى ارباداعى ادام وڭعا قاراتىلعان, مۇمكىندىگى شەكتەۋلى
👨‍🦼	ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك
👨🏻‍🦼	1–2 تەرى ءتۇسى, ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك: 1–2 تەرى ءتۇسى
👨🏼‍🦼	3-تەرى ءتۇرى, ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك: 3-تەرى ءتۇرى
👨🏽‍🦼	4-تەرى ءتۇسى, ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك: 4-تەرى ءتۇسى
👨🏾‍🦼	5-تەرى ءتۇسى, ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك: 5-تەرى ءتۇسى
👨🏿‍🦼	6-تەرى ءتۇسى, ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك: 6-تەرى ءتۇسى
👨‍🦼‍➡	ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك وڭعا قاراتىلعان
👨🏻‍🦼‍➡	ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك وڭعا قاراتىلعان
👨🏼‍🦼‍➡	ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك وڭعا قاراتىلعان
👨🏽‍🦼‍➡	ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك وڭعا قاراتىلعان
👨🏾‍🦼‍➡	ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك وڭعا قاراتىلعان
👨🏿‍🦼‍➡	ارباشا, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەركەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك, ەلەكتىر جەتەگى بار ارباشاداعى ەركەك وڭعا قاراتىلعان
👩‍🦼	ارباشا, ايەل, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ايەل
👩🏻‍🦼	1–2 تەرى ءتۇسى, ارباشا, ايەل, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ايەل, ەلەكتىر جەتەگى بار ارباشاداعى ايەل: 1–2 تەرى ءتۇسى
👩🏼‍🦼	3-تەرى ءتۇرى, ارباشا, ايەل, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ايەل, ەلەكتىر جەتەگى بار ارباشاداعى ايەل: 3-تەرى ءتۇرى
👩🏽‍🦼	4-تەرى ءتۇسى, ارباشا, ايەل, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ايەل, ەلەكتىر جەتەگى بار ارباشاداعى ايەل: 4-تەرى ءتۇسى
👩🏾‍🦼	5-تەرى ءتۇسى, ارباشا, ايەل, مۇمكىندىگى شەكتەۋلى, مۇگەدەك, ەلەكتر ارباشا, ەلەكتىر جەتەگى بار ارباشاداعى ايەل, ەلەكتىر جەتەگى بار ارباشاداعى ايەل: 5-تەرى ءتۇسى
