‾	forlíne
🏃🏽‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith: ton cnis meánach, maratón, ton cnis meánach
🏃🏾‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith: ton cnis meándorcha, maratón, ton cnis meándorcha
🏃🏿‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith: ton cnis dorcha, maratón, ton cnis dorcha
🏃‍➡	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí aghaidh ar dheis, rása, spórt
🏃🏻‍➡	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí aghaidh ar dheis, rása, spórt
🏃🏼‍➡	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí aghaidh ar dheis, rása, spórt
🏃🏽‍➡	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí aghaidh ar dheis, rása, spórt
🏃🏾‍➡	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí aghaidh ar dheis, rása, spórt
🏃🏿‍➡	ag rith, duine ag rith, déan deifir, gasta, luas, maratón, reathaí, reathaí aghaidh ar dheis, rása, spórt
🏃‍♀‍➡	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith aghaidh ar dheis, maratón
🏃🏻‍♀‍➡	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith aghaidh ar dheis, maratón
🏃🏼‍♀‍➡	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith aghaidh ar dheis, maratón
🏃🏽‍♀‍➡	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith aghaidh ar dheis, maratón
🏃🏾‍♀‍➡	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith aghaidh ar dheis, maratón
🏃🏿‍♀‍➡	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith aghaidh ar dheis, maratón
🏃‍♂‍➡	ag rith, ag rásáil, fear, fear ag rith, fear ag rith aghaidh ar dheis, fearann, maratón
🏃🏻‍♂‍➡	ag rith, ag rásáil, fear, fear ag rith, fear ag rith aghaidh ar dheis, fearann, maratón
🏃🏼‍♂‍➡	ag rith, ag rásáil, fear, fear ag rith, fear ag rith aghaidh ar dheis, fearann, maratón
🏃🏽‍♂‍➡	ag rith, ag rásáil, fear, fear ag rith, fear ag rith aghaidh ar dheis, fearann, maratón
🏃🏾‍♂‍➡	ag rith, ag rásáil, fear, fear ag rith, fear ag rith aghaidh ar dheis, fearann, maratón
🏃🏿‍♂‍➡	ag rith, ag rásáil, fear, fear ag rith, fear ag rith aghaidh ar dheis, fearann, maratón
💃	bean ag damhsa, damhsa, damhsóir, flamenco, salsa, tangó
💃🏻	bean ag damhsa, bean ag damhsa: ton cnis geal, damhsa, damhsóir, flamenco, salsa, tangó, ton cnis geal
💃🏼	bean ag damhsa, bean ag damhsa: ton cnis mheánach-gheal, damhsa, damhsóir, flamenco, salsa, tangó, ton cnis mheánach-gheal
💃🏽	bean ag damhsa, bean ag damhsa: ton cnis meánach, damhsa, damhsóir, flamenco, salsa, tangó, ton cnis meánach
💃🏾	bean ag damhsa, bean ag damhsa: ton cnis meándorcha, damhsa, damhsóir, flamenco, salsa, tangó, ton cnis meándorcha
💃🏿	bean ag damhsa, bean ag damhsa: ton cnis dorcha, damhsa, damhsóir, flamenco, salsa, tangó, ton cnis dorcha
🕺	bean, damhsa, damhsóir, fear ag damhsa, flamenco, rince, salsa, tango
🕺🏻	bean, damhsa, damhsóir, fear ag damhsa, fear ag damhsa: ton cnis geal, flamenco, rince, salsa, tango, ton cnis geal
🕺🏼	bean, damhsa, damhsóir, fear ag damhsa, fear ag damhsa: ton cnis mheánach-gheal, flamenco, rince, salsa, tango, ton cnis mheánach-gheal
🕺🏽	bean, damhsa, damhsóir, fear ag damhsa, fear ag damhsa: ton cnis meánach, flamenco, rince, salsa, tango, ton cnis meánach
🕺🏾	bean, damhsa, damhsóir, fear ag damhsa, fear ag damhsa: ton cnis meándorcha, flamenco, rince, salsa, tango, ton cnis meándorcha
🕺🏿	bean, damhsa, damhsóir, fear ag damhsa, fear ag damhsa: ton cnis dorcha, flamenco, rince, salsa, tango, ton cnis dorcha
🕴️	culaith, fear, fear i gculaith gnó ar eadarbhuas, gnó
🕴🏻	culaith, fear, fear i gculaith gnó ar eadarbhuas, fear i gculaith gnó ar eadarbhuas: ton cnis geal, gnó, ton cnis geal
🕴🏼	culaith, fear, fear i gculaith gnó ar eadarbhuas, fear i gculaith gnó ar eadarbhuas: ton cnis mheánach-gheal, gnó, ton cnis mheánach-gheal
🕴🏽	culaith, fear, fear i gculaith gnó ar eadarbhuas, fear i gculaith gnó ar eadarbhuas: ton cnis meánach, gnó, ton cnis meánach
🕴🏾	culaith, fear, fear i gculaith gnó ar eadarbhuas, fear i gculaith gnó ar eadarbhuas: ton cnis meándorcha, gnó, ton cnis meándorcha
🕴🏿	culaith, fear, fear i gculaith gnó ar eadarbhuas, fear i gculaith gnó ar eadarbhuas: ton cnis dorcha, gnó, ton cnis dorcha
👯	cailín, cara cléibh, cluasa coinín, cóisir, cóisireacht, cúpla comhionann, daoine le chluasa coiníní ag ceiliúradh, daoine le cluasa coinín orthu, daoine le cluasa coiníní orthu, dlúthchairde, dís, rinceoirí, í féin nó a leathcheann atá ann
👯‍♂	ag ceiliúradh, cluas coinín, cóisir, damhsóir, fearann, fir, fir ag ceiliúradh, fir le cluasa coiníní orthu, rinceoir
👯‍♀	ag ceiliúradh, baineann, cluas coinín, mná, mná ag ceiliúradh, mná le cluasa coiníní orthu, rinceoir
🧖	cóireáil spá, do shuaimhneas a dhéanamh, duine i seomra gaile, déan cineál, folcadán allais, seomra allais, seomra gaile, spá, suaimhneas, sásta, só-spá
🧖🏻	cóireáil spá, do shuaimhneas a dhéanamh, duine i seomra gaile, duine i seomra gaile: ton cnis geal, déan cineál, folcadán allais, seomra allais, seomra gaile, spá, suaimhneas, sásta, só-spá, ton cnis geal
🧖🏼	cóireáil spá, do shuaimhneas a dhéanamh, duine i seomra gaile, duine i seomra gaile: ton cnis mheánach-gheal, déan cineál, folcadán allais, seomra allais, seomra gaile, spá, suaimhneas, sásta, só-spá, ton cnis mheánach-gheal
🧖🏽	cóireáil spá, do shuaimhneas a dhéanamh, duine i seomra gaile, duine i seomra gaile: ton cnis meánach, déan cineál, folcadán allais, seomra allais, seomra gaile, spá, suaimhneas, sásta, só-spá, ton cnis meánach
🧖🏾	cóireáil spá, do shuaimhneas a dhéanamh, duine i seomra gaile, duine i seomra gaile: ton cnis meándorcha, déan cineál, folcadán allais, seomra allais, seomra gaile, spá, suaimhneas, sásta, só-spá, ton cnis meándorcha
🧖🏿	cóireáil spá, do shuaimhneas a dhéanamh, duine i seomra gaile, duine i seomra gaile: ton cnis dorcha, déan cineál, folcadán allais, seomra allais, seomra gaile, spá, suaimhneas, sásta, só-spá, ton cnis dorcha
🧖‍♂	fear, fear i seomra gaile, seomra allais, seomra gaile
🧖🏻‍♂	fear, fear i seomra gaile, fear i seomra gaile: ton cnis geal, seomra allais, seomra gaile, ton cnis geal
🧖🏼‍♂	fear, fear i seomra gaile, fear i seomra gaile: ton cnis mheánach-gheal, seomra allais, seomra gaile, ton cnis mheánach-gheal
🧖🏽‍♂	fear, fear i seomra gaile, fear i seomra gaile: ton cnis meánach, seomra allais, seomra gaile, ton cnis meánach
🧖🏾‍♂	fear, fear i seomra gaile, fear i seomra gaile: ton cnis meándorcha, seomra allais, seomra gaile, ton cnis meándorcha
🧖🏿‍♂	fear, fear i seomra gaile, fear i seomra gaile: ton cnis dorcha, seomra allais, seomra gaile, ton cnis dorcha
🧖‍♀	bean, bean i seomra gaile, seomra allais, seomra gaile
🧖🏻‍♀	bean, bean i seomra gaile, bean i seomra gaile: ton cnis geal, seomra allais, seomra gaile, ton cnis geal
🧖🏼‍♀	bean, bean i seomra gaile, bean i seomra gaile: ton cnis mheánach-gheal, seomra allais, seomra gaile, ton cnis mheánach-gheal
🧖🏽‍♀	bean, bean i seomra gaile, bean i seomra gaile: ton cnis meánach, seomra allais, seomra gaile, ton cnis meánach
🧖🏾‍♀	bean, bean i seomra gaile, bean i seomra gaile: ton cnis meándorcha, seomra allais, seomra gaile, ton cnis meándorcha
🧖🏿‍♀	bean, bean i seomra gaile, bean i seomra gaile: ton cnis dorcha, seomra allais, seomra gaile, ton cnis dorcha
🧗	airde, an mullach a bhaint amach, caitheamh aimsire, carraig, cnoc, deapadóir, dreapadóir, duine ag dreapadóireacht, fearas dreapadóireachta, fána ghéar
🧗🏻	airde, an mullach a bhaint amach, caitheamh aimsire, carraig, cnoc, deapadóir, dreapadóir, duine ag dreapadóireacht, duine ag dreapadóireacht: ton cnis geal, fearas dreapadóireachta, fána ghéar, ton cnis geal
🧗🏼	airde, an mullach a bhaint amach, caitheamh aimsire, carraig, cnoc, deapadóir, dreapadóir, duine ag dreapadóireacht, duine ag dreapadóireacht: ton cnis mheánach-gheal, fearas dreapadóireachta, fána ghéar, ton cnis mheánach-gheal
🧗🏽	airde, an mullach a bhaint amach, caitheamh aimsire, carraig, cnoc, deapadóir, dreapadóir, duine ag dreapadóireacht, duine ag dreapadóireacht: ton cnis meánach, fearas dreapadóireachta, fána ghéar, ton cnis meánach
🧗🏾	airde, an mullach a bhaint amach, caitheamh aimsire, carraig, cnoc, deapadóir, dreapadóir, duine ag dreapadóireacht, duine ag dreapadóireacht: ton cnis meándorcha, fearas dreapadóireachta, fána ghéar, ton cnis meándorcha
🧗🏿	airde, an mullach a bhaint amach, caitheamh aimsire, carraig, cnoc, deapadóir, dreapadóir, duine ag dreapadóireacht, duine ag dreapadóireacht: ton cnis dorcha, fearas dreapadóireachta, fána ghéar, ton cnis dorcha
🧗‍♂	dreapadóir, fear, fear ag dreapadóireacht
🧗🏻‍♂	dreapadóir, fear, fear ag dreapadóireacht, fear ag dreapadóireacht: ton cnis geal, ton cnis geal
🧗🏼‍♂	dreapadóir, fear, fear ag dreapadóireacht, fear ag dreapadóireacht: ton cnis mheánach-gheal, ton cnis mheánach-gheal
🧗🏽‍♂	dreapadóir, fear, fear ag dreapadóireacht, fear ag dreapadóireacht: ton cnis meánach, ton cnis meánach
🧗🏾‍♂	dreapadóir, fear, fear ag dreapadóireacht, fear ag dreapadóireacht: ton cnis meándorcha, ton cnis meándorcha
🧗🏿‍♂	dreapadóir, fear, fear ag dreapadóireacht, fear ag dreapadóireacht: ton cnis dorcha, ton cnis dorcha
🧗‍♀	bean, bean ag dreapadóireacht, dreapadóir
🧗🏻‍♀	bean, bean ag dreapadóireacht, bean ag dreapadóireacht: ton cnis geal, dreapadóir, ton cnis geal
🧗🏼‍♀	bean, bean ag dreapadóireacht, bean ag dreapadóireacht: ton cnis mheánach-gheal, dreapadóir, ton cnis mheánach-gheal
🧗🏽‍♀	bean, bean ag dreapadóireacht, bean ag dreapadóireacht: ton cnis meánach, dreapadóir, ton cnis meánach
🧗🏾‍♀	bean, bean ag dreapadóireacht, bean ag dreapadóireacht: ton cnis meándorcha, dreapadóir, ton cnis meándorcha
🧗🏿‍♀	bean, bean ag dreapadóireacht, bean ag dreapadóireacht: ton cnis dorcha, dreapadóir, ton cnis dorcha
🤺	claíomh, duine ag pionsóireacht, pionsóir, pionsóireacht, spórt
🏇	capall, capall rása, each, gearrán, marc, marcaí, marcaíocht, rith, rás, rásaíocht, rásaíocht capall, rásaíocht chapall, spórt
🏇🏻	capall, capall rása, each, gearrán, marc, marcaí, marcaíocht, rith, rás, rásaíocht, rásaíocht capall: ton cnis geal, rásaíocht chapall, spórt, ton cnis geal
🏇🏼	capall, capall rása, each, gearrán, marc, marcaí, marcaíocht, rith, rás, rásaíocht, rásaíocht capall: ton cnis mheánach-gheal, rásaíocht chapall, spórt, ton cnis mheánach-gheal
🏇🏽	capall, capall rása, each, gearrán, marc, marcaí, marcaíocht, rith, rás, rásaíocht, rásaíocht capall: ton cnis meánach, rásaíocht chapall, spórt, ton cnis meánach
🏇🏾	capall, capall rása, each, gearrán, marc, marcaí, marcaíocht, rith, rás, rásaíocht, rásaíocht capall: ton cnis meándorcha, rásaíocht chapall, spórt, ton cnis meándorcha
🏇🏿	capall, capall rása, each, gearrán, marc, marcaí, marcaíocht, rith, rás, rásaíocht, rásaíocht capall: ton cnis dorcha, rásaíocht chapall, spórt, ton cnis dorcha
⛷️	marcaíocht sneachta, sciálaí, scí, sneachta
🏂️	clár sneachta, clárscimeálaí sneachta, marcaíocht sneachta, scimeáil sneachta, sneachta, spórt
🏂🏻	clár sneachta, clárscimeálaí sneachta, clárscimeálaí sneachta: ton cnis geal, marcaíocht sneachta, scimeáil sneachta, sneachta, spórt, ton cnis geal
🏂🏼	clár sneachta, clárscimeálaí sneachta, clárscimeálaí sneachta: ton cnis mheánach-gheal, marcaíocht sneachta, scimeáil sneachta, sneachta, spórt, ton cnis mheánach-gheal
🏂🏽	clár sneachta, clárscimeálaí sneachta, clárscimeálaí sneachta: ton cnis meánach, marcaíocht sneachta, scimeáil sneachta, sneachta, spórt, ton cnis meánach
🏂🏾	clár sneachta, clárscimeálaí sneachta, clárscimeálaí sneachta: ton cnis meándorcha, marcaíocht sneachta, scimeáil sneachta, sneachta, spórt, ton cnis meándorcha
🏂🏿	clár sneachta, clárscimeálaí sneachta, clárscimeálaí sneachta: ton cnis dorcha, marcaíocht sneachta, scimeáil sneachta, sneachta, spórt, ton cnis dorcha
🏌️	duine ag imirt gailf, gailf, galf, giolla gailf, liathróid, maide gailf, plásóg, raon gailf, tí, éinín
🏌🏻	duine ag imirt gailf, duine ag imirt gailf: ton cnis geal, gailf, galf, giolla gailf, liathróid, maide gailf, plásóg, raon gailf, ton cnis geal, tí, éinín
🏌🏼	duine ag imirt gailf, duine ag imirt gailf: ton cnis mheánach-gheal, gailf, galf, giolla gailf, liathróid, maide gailf, plásóg, raon gailf, ton cnis mheánach-gheal, tí, éinín
🏌🏽	duine ag imirt gailf, duine ag imirt gailf: ton cnis meánach, gailf, galf, giolla gailf, liathróid, maide gailf, plásóg, raon gailf, ton cnis meánach, tí, éinín
🏌🏾	duine ag imirt gailf, duine ag imirt gailf: ton cnis meándorcha, gailf, galf, giolla gailf, liathróid, maide gailf, plásóg, raon gailf, ton cnis meándorcha, tí, éinín
🏌🏿	duine ag imirt gailf, duine ag imirt gailf: ton cnis dorcha, gailf, galf, giolla gailf, liathróid, maide gailf, plásóg, raon gailf, ton cnis dorcha, tí, éinín
🏌‍♂	fear, fear ag imirt gailf, fearann, gailf
🏌🏻‍♂	fear, fear ag imirt gailf, fear ag imirt gailf: ton cnis geal, fearann, gailf, ton cnis geal
🏌🏼‍♂	fear, fear ag imirt gailf, fear ag imirt gailf: ton cnis mheánach-gheal, fearann, gailf, ton cnis mheánach-gheal
🏌🏽‍♂	fear, fear ag imirt gailf, fear ag imirt gailf: ton cnis meánach, fearann, gailf, ton cnis meánach
🏌🏾‍♂	fear, fear ag imirt gailf, fear ag imirt gailf: ton cnis meándorcha, fearann, gailf, ton cnis meándorcha
🏌🏿‍♂	fear, fear ag imirt gailf, fear ag imirt gailf: ton cnis dorcha, fearann, gailf, ton cnis dorcha
🏌‍♀	baineann, bean, bean ag imirt gailf, gailf, liathróid
🏌🏻‍♀	baineann, bean, bean ag imirt gailf, bean ag imirt gailf: ton cnis geal, gailf, liathróid, ton cnis geal
🏌🏼‍♀	baineann, bean, bean ag imirt gailf, bean ag imirt gailf: ton cnis mheánach-gheal, gailf, liathróid, ton cnis mheánach-gheal
🏌🏽‍♀	baineann, bean, bean ag imirt gailf, bean ag imirt gailf: ton cnis meánach, gailf, liathróid, ton cnis meánach
🏌🏾‍♀	baineann, bean, bean ag imirt gailf, bean ag imirt gailf: ton cnis meándorcha, gailf, liathróid, ton cnis meándorcha
🏌🏿‍♀	baineann, bean, bean ag imirt gailf, bean ag imirt gailf: ton cnis dorcha, gailf, liathróid, ton cnis dorcha
🏄️	aigéan, béal na toinne, duine ag surfáil, oibriú san fharraige, spórt, surfáil, surfálaí, tonnta, trá
🏄🏻	aigéan, béal na toinne, duine ag surfáil, duine ag surfáil: ton cnis geal, oibriú san fharraige, spórt, surfáil, surfálaí, ton cnis geal, tonnta, trá
🏄🏼	aigéan, béal na toinne, duine ag surfáil, duine ag surfáil: ton cnis mheánach-gheal, oibriú san fharraige, spórt, surfáil, surfálaí, ton cnis mheánach-gheal, tonnta, trá
🏄🏽	aigéan, béal na toinne, duine ag surfáil, duine ag surfáil: ton cnis meánach, oibriú san fharraige, spórt, surfáil, surfálaí, ton cnis meánach, tonnta, trá
🏄🏾	aigéan, béal na toinne, duine ag surfáil, duine ag surfáil: ton cnis meándorcha, oibriú san fharraige, spórt, surfáil, surfálaí, ton cnis meándorcha, tonnta, trá
🏄🏿	aigéan, béal na toinne, duine ag surfáil, duine ag surfáil: ton cnis dorcha, oibriú san fharraige, spórt, surfáil, surfálaí, ton cnis dorcha, tonnta, trá
🏄‍♂	fear, fear ag surfáil, fearann, surfáil
🏄🏻‍♂	fear, fear ag surfáil, fear ag surfáil: ton cnis geal, fearann, surfáil, ton cnis geal
🏄🏼‍♂	fear, fear ag surfáil, fear ag surfáil: ton cnis mheánach-gheal, fearann, surfáil, ton cnis mheánach-gheal
🏄🏽‍♂	fear, fear ag surfáil, fear ag surfáil: ton cnis meánach, fearann, surfáil, ton cnis meánach
🏄🏾‍♂	fear, fear ag surfáil, fear ag surfáil: ton cnis meándorcha, fearann, surfáil, ton cnis meándorcha
🏄🏿‍♂	fear, fear ag surfáil, fear ag surfáil: ton cnis dorcha, fearann, surfáil, ton cnis dorcha
🏄‍♀	aigéan, baineann, bean, bean ag surfáil, spórt, surfáil, tonnmharcaíocht, tonnta, trá
🏄🏻‍♀	aigéan, baineann, bean, bean ag surfáil, bean ag surfáil: ton cnis geal, spórt, surfáil, ton cnis geal, tonnmharcaíocht, tonnta, trá
🏄🏼‍♀	aigéan, baineann, bean, bean ag surfáil, bean ag surfáil: ton cnis mheánach-gheal, spórt, surfáil, ton cnis mheánach-gheal, tonnmharcaíocht, tonnta, trá
🏄🏽‍♀	aigéan, baineann, bean, bean ag surfáil, bean ag surfáil: ton cnis meánach, spórt, surfáil, ton cnis meánach, tonnmharcaíocht, tonnta, trá
🏄🏾‍♀	aigéan, baineann, bean, bean ag surfáil, bean ag surfáil: ton cnis meándorcha, spórt, surfáil, ton cnis meándorcha, tonnmharcaíocht, tonnta, trá
🏄🏿‍♀	aigéan, baineann, bean, bean ag surfáil, bean ag surfáil: ton cnis dorcha, spórt, surfáil, ton cnis dorcha, tonnmharcaíocht, tonnta, trá
🚣	abhainn, bád, bád rámhaíochta, canú, céasla, duine, duine ag rámhaíocht, feithicil, loch, rafta
🚣🏻	abhainn, bád, bád rámhaíochta, bád rámhaíochta: ton cnis geal, canú, céasla, duine, duine ag rámhaíocht, feithicil, loch, rafta, ton cnis geal
🚣🏼	abhainn, bád, bád rámhaíochta, bád rámhaíochta: ton cnis mheánach-gheal, canú, céasla, duine, duine ag rámhaíocht, feithicil, loch, rafta, ton cnis mheánach-gheal
🚣🏽	abhainn, bád, bád rámhaíochta, bád rámhaíochta: ton cnis meánach, canú, céasla, duine, duine ag rámhaíocht, feithicil, loch, rafta, ton cnis meánach
🚣🏾	abhainn, bád, bád rámhaíochta, bád rámhaíochta: ton cnis meándorcha, canú, céasla, duine, duine ag rámhaíocht, feithicil, loch, rafta, ton cnis meándorcha
🚣🏿	abhainn, bád, bád rámhaíochta, bád rámhaíochta: ton cnis dorcha, canú, céasla, duine, duine ag rámhaíocht, feithicil, loch, rafta, ton cnis dorcha
🚣‍♂	bád, bád iomartha, fear, fear ag iomair báid, fearann
🚣🏻‍♂	bád, bád iomartha, fear, fear ag iomair báid, fear ag iomair báid: ton cnis geal, fearann, ton cnis geal
🚣🏼‍♂	bád, bád iomartha, fear, fear ag iomair báid, fear ag iomair báid: ton cnis mheánach-gheal, fearann, ton cnis mheánach-gheal
🚣🏽‍♂	bád, bád iomartha, fear, fear ag iomair báid, fear ag iomair báid: ton cnis meánach, fearann, ton cnis meánach
🚣🏾‍♂	bád, bád iomartha, fear, fear ag iomair báid, fear ag iomair báid: ton cnis meándorcha, fearann, ton cnis meándorcha
🚣🏿‍♂	bád, bád iomartha, fear, fear ag iomair báid, fear ag iomair báid: ton cnis dorcha, fearann, ton cnis dorcha
